experiment,interval,t0,t1,ec0,ec_true,phys_water_t0_frac,phys_water_t1_frac,phys_water_min_frac,phys_leach_ml,phys_leach_salt_ecml,phys_salt_added_ecml,phys_theory_ec_t1,phys_theory_ec_delta,phys_salt_add_per_water,phys_dry_salt_pressure
replace10|huber2_cfg19|cap1200|et150|alpha4,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.7780670275099846,0.9821155886841789,0.7504926607004975,0.591192840596932,1.9236805707457951,3906.5999999999995,3.313150682413284,3.313150682413284,3.1666223241153237,0.7027779051441548
replace10|huber2_cfg19|cap1200|et150|alpha4,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,0.9829927435455865,0.918750012305627,0.7766234608156931,1842.7938211640462,592.5531758744719,1302.1999999999998,0.6436705801547428,0.6436705801547428,0.3538980002319944,0.006018834048649609
replace10|huber2_cfg19|cap1200|et150|alpha4,aug_preflush,2025-08-17 08:10:00,2025-08-18 10:00:00,1.145,,0.9398512987259191,0.916445404097852,0.8276451102978652,575.12710733689,969.1123959308723,2664.3999999999996,2.7157857914611117,1.5707857914611116,1.0681148834488607,0.06424572305096526
replace10|huber2_cfg19|cap1200|et150|alpha8,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.7780670275099846,0.9821155886841789,0.7504926607004975,0.591192840596932,3.8473611414915903,7813.199999999999,6.626301364826568,6.626301364826568,6.3332446482306475,1.4055558102883097
replace10|huber2_cfg19|cap1200|et150|alpha8,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,0.9829927435455865,0.918750012305627,0.7766234608156931,1842.7938211640462,1185.1063517489438,2604.3999999999996,1.2873411603094855,1.2873411603094855,0.7077960004639888,0.012037668097299219
replace10|huber2_cfg19|cap1200|et150|alpha8,aug_preflush,2025-08-17 08:10:00,2025-08-18 10:00:00,1.145,,0.9398512987259191,0.916445404097852,0.8276451102978652,575.12710733689,1465.4791982829906,5328.799999999999,4.687200917004507,3.542200917004507,2.1362297668977215,0.12849144610193053
replace10|huber2_cfg19|cap1200|et250|alpha4,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.22922823929976655,0.40346360909091966,0.18327096128395487,0.0,0.0,3906.5999999999995,8.068881372808965,8.0,6.7932140325387245,5.236017540673406
replace10|huber2_cfg19|cap1200|et250|alpha4,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,0.5821429930251593,0.8645833538427111,0.4598768744936073,937.2424731457636,435.6581839206302,1302.1999999999998,0.8352210077335264,0.8352210077335264,0.4071192289106519,0.17011762247451004
replace10|huber2_cfg19|cap1200|et250|alpha4,aug_preflush,2025-08-17 08:10:00,2025-08-18 10:00:00,1.145,,0.5269508925426084,0.5274694579081753,0.4023438686219523,0.0,0.0,2664.3999999999996,5.3532807690757,4.208280769075699,1.3328612738958905,0.630508835980973
replace10|huber2_cfg19|cap1200|et250|alpha8,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.22922823929976655,0.40346360909091966,0.18327096128395487,0.0,0.0,7813.199999999999,12.0,8.0,12.0,9.249261128402802
replace10|huber2_cfg19|cap1200|et250|alpha8,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,0.5821429930251593,0.8645833538427111,0.4598768744936073,937.2424731457636,871.3163678412604,2604.3999999999996,1.6704420154670527,1.6704420154670527,0.8142384578213038,0.3402352449490201
replace10|huber2_cfg19|cap1200|et250|alpha8,aug_preflush,2025-08-17 08:10:00,2025-08-18 10:00:00,1.145,,0.5269508925426084,0.5274694579081753,0.4023438686219523,0.0,0.0,5328.799999999999,9.562687209665972,8.0,2.665722547791781,1.261017671961946
replace10|huber2_cfg19|cap2500|et150|alpha4,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.8934721732047932,0.9914154825684058,0.8802364771362398,0.5911928405994331,0.9236031694017759,3906.5999999999995,1.575798024340865,1.575798024340865,1.54186769140255,0.16425181437085618
