Target,Warmup,MAE,RMSE,Naive MAE,Gain,Gain %,R2,N test,Holdout MAE,Holdout R2
pH,52,0.3698262871387764,0.5009349949825661,0.8768421052631579,0.5070158181243815,57.822932439155146,0.9008092685447069,57,0.31206105789636207,0.9235502754232844
EC,52,0.1530173254472506,0.28085015849966816,0.19607719298245616,0.04305986753520555,21.96067114193046,0.9507692137605727,57,0.16903686280772937,0.9211129170852652
EC stress,30,0.19349026146043127,0.34892270584077584,0.24673468354430375,0.05324442208387248,21.579626065952702,0.9128283106629415,79,,
