kind,anchor_pos,target_pos,t0,t1,gap_h,ec0,ec1,ec_delta,ec_ratio,fert_salt_total_t0_t1,irr_total_t0_t1,salt_conc_t0_t1,salt_per_hour,irr_per_hour,ET0_sum_t0_t1,irr_to_et0,soil_temp_mean,temp_rh_balance,g_soil_minus_air,canopy,days_after_planting_t1,last_salt_event_mass,last_core_salt_event_mass,last_salt_event_irr,last_salt_event_conc_mass,event_to_target_h,event_to_t0_h,hrs_since_last_salt_event,irr_after_last_salt,no_flush_after_salt,post_salt_flush_ratio,salt_mass_last_2h,salt_conc_last_2h,salt_mass_per_ec0,last_salt_mass_per_ec0,last_salt_release_fast,last_salt_release_med,short_salt_shock_pressure,mass_shortgap_no_flush,event_conc_x_logmass,event_conc_x_logmass_fast,event_mass_x_conc_fast,concentrated_large_event_pressure,concentrated_large_event_per_ec0,short_high_mass_no_flush_flag,event_high_mass_conc_short_flag,low_ec_high_mass_flag,ec0_x_p48_salt,n24_salt_minus_p24_salt,prev_ec_slope,salt_event_pos,timing_balance,sep21_similarity_dist
skip26,38,39,2025-08-20 12:00:00,2025-08-20 12:20:00,0.3333333333333333,0.9119,0.8451,-0.06680000000000008,0.930554111654018,325.54999999999995,100.0,3.223267326732673,976.6499999999999,300.0,0.257295092,279.88069872507515,35.027797955,62.3204763526213,0.456372769190392,0.719797818,83.0,325.54999999999995,325.54999999999995,100.0,3.223267326732673,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,325.54999999999995,3.223267326732673,321.7215139835952,321.7215139835952,260.68006151956683,299.52045918257613,3.617999582826758,4.899929787140237,18.658150698072355,14.940279133204887,840.2415250266828,7.987576664519461,7.893642320900741,0.0,0.0,0.0,296.86904499999997,325.54999999999995,-0.0238972972972973,0.0,0.0,358.62047313899444
skip26,81,87,2025-09-15 08:10:00,2025-09-16 08:50:00,24.666666666666668,0.198,0.183,-0.015000000000000013,0.939516129032258,750.0999999999999,833.3333334,0.8990411505474197,30.409459459459455,33.78378378648649,3.7950684369999994,213.94574880482392,27.731427776283784,39.082058058545265,0.45142777628378283,1.0,110.0,325.54999999999995,325.54999999999995,100.0,3.223267326732673,0.3333333333333333,24.333333333333332,0.3333333333333333,0.0,1.0,0.0,325.54999999999995,3.223267326732673,2517.114093959731,1092.44966442953,260.68006151956683,299.52045918257613,15.55414422524704,2.9151460501260262e-05,18.658150698072355,14.940279133204887,840.2415250266828,7.987576664519461,26.803948538655906,0.0,0.0,1.0,64.4589,99.0,-0.007694117647058823,0.9864864864864865,0.0,358.6998995324307
skip26,86,87,2025-09-16 06:40:00,2025-09-16 08:50:00,2.1666666666666665,0.358,0.183,-0.175,0.571078431372549,325.54999999999995,366.6666667,0.8854487759849999,150.25384615384615,169.23076924615387,0.521451857,590.0162057122955,24.233444983076918,49.31057867693523,-7.105016555384623,1.0,110.0,325.54999999999995,325.54999999999995,100.0,3.223267326732673,0.3333333333333333,1.8333333333333333,0.3333333333333333,0.0,1.0,0.0,325.54999999999995,3.223267326732673,710.8078602620087,710.8078602620087,260.68006151956683,299.52045918257613,10.120382050488251,1.959235231702045,18.658150698072355,14.940279133204887,840.2415250266828,7.987576664519461,17.440123721658214,0.0,0.0,0.0,268.53579999999994,0.0,-0.0019230769230769247,0.8461538461538461,0.0,358.7072592878624
skip26,85,87,2025-09-15 17:40:00,2025-09-16 08:50:00,15.166666666666666,0.383,0.183,-0.2,0.5381062355658198,325.54999999999995,366.6666667,0.8854487759849999,21.46483516483516,24.17582417802198,0.966835963,343.6954503004508,24.95175194142857,35.2638526583121,-0.5567095970329738,1.0,110.0,325.54999999999995,325.54999999999995,100.0,3.223267326732673,0.3333333333333333,14.833333333333334,0.3333333333333333,0.0,1.0,0.0,325.54999999999995,3.223267326732673,674.0165631469979,674.0165631469979,260.68006151956683,299.52045918257613,9.596552751808733,0.0029455910356033506,18.658150698072355,14.940279133204887,840.2415250266828,7.987576664519461,16.53742580645851,0.0,0.0,0.0,287.2883,0.0,0.02261538461538461,0.978021978021978,0.0,358.7110585220751
skip26,15,17,2025-08-03 09:00:00,2025-08-04 09:20:00,24.333333333333332,0.911,0.956,0.04499999999999993,1.0468262226847034,651.0999999999999,733.3333332,0.8866545621219526,26.75753424657534,30.136986295890413,5.697738155,126.48610778801203,29.982128589589045,41.214433124976466,0.7599119717648994,0.42811594423287674,67.0,325.54999999999995,325.54999999999995,100.0,3.223267326732673,0.3333333333333333,24.0,0.3333333333333333,0.0,1.0,0.0,325.54999999999995,3.223267326732673,644.0158259149356,322.0079129574678,260.68006151956683,299.52045918257613,2.6182642294329,3.3703272689257885e-05,18.658150698072355,14.940279133204887,840.2415250266828,7.987576664519461,7.900669302195311,0.0,0.0,0.0,0.0,325.54999999999995,0.007243478260869566,0.9863013698630136,0.0,358.73941550371904
skip26,16,17,2025-08-03 14:10:00,2025-08-04 09:20:00,19.166666666666668,0.8713,0.956,0.0847,1.0919353088027788,325.54999999999995,366.6666666,0.8854487762258293,16.985217391304346,19.130434779130432,2.3553776839999996,149.33208401677402,28.425086478956516,37.13163149983712,0.5829021241601328,0.43013686691304337,67.0,325.54999999999995,325.54999999999995,100.0,3.223267326732673,0.3333333333333333,18.833333333333332,0.3333333333333333,0.0,1.0,0.0,325.54999999999995,3.223267326732673,335.1693606506743,335.1693606506743,260.68006151956683,299.52045918257613,2.73251371667906,0.00039864239710260633,18.658150698072355,14.940279133204887,840.2415250266828,7.987576664519461,8.223593806773872,0.0,0.0,0.0,283.65171499999997,0.0,-0.007683870967741948,0.9826086956521739,0.0,358.76796316150944
skip26,88,91,2025-09-16 10:00:00,2025-09-17 08:50:00,22.833333333333332,0.414,0.215,-0.19899999999999998,0.5711206896551725,325.54999999999995,633.3333334,0.5132159747227307,14.25766423357664,27.737226280291974,3.2808008940000004,187.33233729439493,27.607967056350365,38.988426496535055,0.5869451585401464,1.0,111.0,325.54999999999995,325.54999999999995,100.0,3.223267326732673,0.3333333333333333,22.5,0.3333333333333333,0.0,1.0,0.0,325.54999999999995,3.223267326732673,633.3657587548637,633.3657587548637,260.68006151956683,299.52045918257613,9.017772332925327,6.37348452253653e-05,18.658150698072355,14.940279133204887,840.2415250266828,7.987576664519461,15.540032421244087,0.0,0.0,0.0,310.54139999999995,-99.0,0.19799999999999998,0.9854014598540146,0.0,358.7692707601305
skip26,84,87,2025-09-15 15:30:00,2025-09-16 08:50:00,17.333333333333332,0.334,0.183,-0.15100000000000002,0.6067708333333333,325.54999999999995,633.3333334,0.5132159747227307,18.78173076923077,36.538461542307694,1.077685797,537.7778478889136,25.69206810894231,35.29326375804663,0.01726041663461686,1.0,110.0,325.54999999999995,325.54999999999995,100.0,3.223267326732673,0.3333333333333333,17.0,0.3333333333333333,0.0,1.0,0.0,325.54999999999995,3.223267326732673,750.1152073732717,750.1152073732717,260.68006151956683,299.52045918257613,10.68003451410972,0.0009969807220560972,18.658150698072355,14.940279133204887,840.2415250266828,7.987576664519461,18.404554526542533,0.0,0.0,0.0,250.53339999999997,0.0,0.0015000000000000013,0.9807692307692307,0.0,358.7700310065781
skip26,83,87,2025-09-15 14:10:00,2025-09-16 08:50:00,18.666666666666668,0.332,0.183,-0.14900000000000002,0.6099476439790575,325.54999999999995,633.3333334,0.5132159747227307,17.440178571428568,33.92857143214285,1.231913364,475.50640343300887,26.188637216249997,35.52379714581122,0.32863721625000153,1.0,110.0,325.54999999999995,325.54999999999995,100.0,3.223267326732673,0.3333333333333333,18.333333333333332,0.3333333333333333,0.0,1.0,0.0,325.54999999999995,3.223267326732673,753.5879629629628,753.5879629629628,260.68006151956683,299.52045918257613,10.729479118341708,0.0005118669700490742,18.658150698072355,14.940279133204887,840.2415250266828,7.987576664519461,18.48976079749875,0.0,0.0,0.0,249.0332,0.0,0.005076923076923082,0.9821428571428571,0.0,358.7716369720785
skip26,90,91,2025-09-16 13:50:00,2025-09-17 08:50:00,19.0,0.309,0.215,-0.094,0.7381615598885795,325.54999999999995,633.3333334,0.5132159747227307,17.134210526315787,33.33333333684211,1.6517476930000001,361.5436948658793,26.659246945526316,37.07443975361533,0.37310659464912277,1.0,111.0,325.54999999999995,325.54999999999995,100.0,3.223267326732673,0.3333333333333333,18.666666666666668,0.3333333333333333,0.0,1.0,0.0,325.54999999999995,3.223267326732673,795.965770171149,795.965770171149,260.68006151956683,299.52045918257613,11.332848359715447,0.000433286035721673,18.658150698072355,14.940279133204887,840.2415250266828,7.987576664519461,19.529527297113596,0.0,0.0,0.0,231.78089999999997,0.0,0.004200000000000003,0.9824561403508771,0.0,358.77497036247144
