option,source,use_case,experiment,n_features,mae,rmse,r2,aug22_mae,aug22_rmse,aug22_n,sep21_pred,sep21_err,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda
current_default,hyperparameter grid,current clean baseline,base,25,0.1821590037879184,0.4703542517663208,0.8401131963953181,0.3567832324359701,0.5674073077246633,11,0.6798783732118225,3.5501216267881777,450,0.03,4,2,0.72,0.75,1.0,2.0
august_focus_cfg39,hyperparameter grid,lowest Aug <=22 MAE without fake data or postprocessing,cfg39,25,0.1901429693863643,0.4782553149151488,0.834696487391674,0.3216343825959559,0.5191573879775396,11,0.6256002729583312,3.604399727041669,600,0.02,5,3,0.72,0.9,1.0,2.0
balanced_cfg19,hyperparameter grid,lowest overall MAE in this real-only search,cfg19,25,0.1817096158268259,0.4701519764228229,0.8402506851236893,0.3573777920017666,0.5623730617929276,11,0.6724995351548595,3.557500464845141,450,0.03,4,1,0.72,0.75,1.0,2.0
best_feature_search_row,real feature/weight grid,best row among tested feature replacements,current25|base|base,25,0.1867414492558677,0.4727576118417183,0.8384750808851812,0.3629566118593375,0.5603021753831167,11,0.6754707576336924,3.554529242366308,,,,,,,,
warmup40_sensitivity,warmup sensitivity,"diagnostic only: changes evaluated rows, not apples-to-apples",warmup40,25,0.1537582651169514,0.4560922639742377,0.8490292142585119,0.1159269514504219,0.1670681100917114,11,0.6217819028948134,3.608218097105187,,,,,,,,
