feature_set,xgb_set,warmup,max_rows,train_mode,pred_mode,shock_weight,blend,wf_active,wf_ph_r2,wf_ec_r2,wf_min_r2,wf_ph_mae,wf_ec_mae,ho_active,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae
current_union,ph_like,50,4,chem_event,salt_shock_strict,8.0,1.0,2,0.9284128342851815,0.9603929342148392,0.9284128342851815,0.29592719659027217,0.131182045383087,4,0.8983803676738967,0.6867997439660525,0.3814684396879822,0.3144688573124249
current_union,ph_like,50,4,chem_event,salt_shock_strict,8.0,1.2,2,0.9279910596008513,0.9816463213420585,0.9279910596008513,0.2974470353571215,0.11473975714023582,4,0.8941146501966175,0.722733009601832,0.3857879790699199,0.28691324334890644
current_union,ph_like,50,4,chem_event,salt_shock_strict,8.0,0.8,2,0.9274437644391935,0.9301514328821512,0.9274437644391935,0.3009668133309212,0.14558194005093744,4,0.9024522682368196,0.6417772061624857,0.37714890030604453,0.3388344964853059
current_union,ph_d5,50,4,chem_event,salt_shock_strict,8.0,1.0,2,0.9261049409903548,0.9614469346371238,0.9261049409903548,0.3072133530216178,0.13185464331709598,4,0.9068158610292387,0.6885535631425005,0.3466770001547486,0.31125200357459376
current_union,ph_d5,50,4,chem_event,salt_shock_strict,8.0,1.2,2,0.925635654038956,0.9830479368795547,0.925635654038956,0.3087489716635597,0.11474191970910676,4,0.9025790737928443,0.7303447388733666,0.350724855669364,0.28276311193096426
current_union,ph_d5,50,4,chem_event,salt_shock_strict,8.0,0.8,2,0.9251666648554671,0.9302652783824314,0.9251666648554671,0.31226874963735934,0.1465478973348905,4,0.9108804576403661,0.6392258181181827,0.34262914464013317,0.33651352698024334
current_union,slow_d4,50,4,chem_event,salt_shock_strict,8.0,1.0,2,0.9233533127485624,0.9633683002640371,0.9233533127485624,0.31644917100233355,0.1279736805313815,4,0.910079395767007,0.6881889745671539,0.3380745850699098,0.30752290912590813
current_union,slow_d5,50,4,chem_event,salt_shock_strict,8.0,1.0,2,0.9231783333382898,0.9613841104531132,0.9231783333382898,0.30739344473177915,0.1315658763166877,4,0.9089072474307882,0.6874167372591227,0.34147214566637585,0.3100908056440194
current_union,slow_d4,50,4,chem_event,salt_shock_strict,8.0,1.2,2,0.9227777952104828,0.9851028098182902,0.9227777952104828,0.31808731938218443,0.11023962395616578,4,0.9052177233770901,0.7213104450775911,0.34307630776037434,0.2827959508557396
current_union,slow_d5,50,4,chem_event,salt_shock_strict,8.0,1.2,2,0.9226095322243768,0.9825972851959861,0.9226095322243768,0.30894406076105757,0.11493831268766745,4,0.9047016393080388,0.7261785946952668,0.34567626074683827,0.28376153078093524
current_union,slow_d4,50,4,chem_event,salt_shock_strict,8.0,0.8,2,0.9224459092551872,0.9319613294361794,0.9224459092551872,0.3216070973559842,0.14241511653108208,4,0.9147131968751269,0.6478796470622143,0.3330728623794453,0.3296190931561318
current_union,slow_d5,50,4,chem_event,salt_shock_strict,8.0,0.8,2,0.92229317652825,0.9313635753944771,0.92229317652825,0.3124638387348572,0.14566215357682274,4,0.91294633248409,0.6422476827998642,0.3372680305859134,0.3335626220711583
current_union,ph_morereg,50,4,chem_event,salt_shock_strict,8.0,1.0,2,0.9161431242363174,0.9618792934033867,0.9161431242363174,0.32178095472131557,0.1342555096509493,4,0.8977291212678249,0.6899970855870465,0.37394041119982313,0.3098740217300494
current_union,ph_morereg,50,4,chem_event,salt_shock_strict,8.0,1.2,2,0.9155997294757583,0.9819649004285737,0.9155997294757583,0.32383916971442844,0.11954096403365647,4,0.898146056477448,0.7404194198608436,0.37315299367421284,0.2818954899241549
current_union,ph_morereg,50,4,chem_event,salt_shock_strict,8.0,0.8,2,0.9150844777558523,0.9344945086034329,0.9150844777558523,0.32735894768822804,0.14756316065510508,4,0.8972898138775056,0.62398207495152,0.3747278287254335,0.3430761970786498
current_union,ph_lessreg,50,4,chem_event,salt_shock_strict,8.0,1.0,2,0.9134910385601909,0.9497490761004308,0.9134910385601909,0.338242052602261,0.14485017938519384,4,0.8992862505694635,0.6809485120248701,0.36604675637651984,0.3234312221678336
current_union,ph_lessreg,50,4,chem_event,salt_shock_strict,8.0,1.2,2,0.9129241735940591,0.9713730972852248,0.9129241735940591,0.34003636146401744,0.12744407479911132,4,0.893503329161956,0.6974327614747842,0.37189327842165687,0.31096511005036886
current_union,ph_lessreg,50,4,chem_event,salt_shock_strict,8.0,0.8,2,0.9125321904406672,0.9186178445659694,0.9125321904406672,0.34355613943781704,0.1593001677706678,4,0.9047179133250849,0.6621868127460462,0.3602002343313829,0.3351156017142727
