variant,n_features,ph_mae,ph_rmse,ph_r2,ph_naive_mae,ec_mae,ec_rmse,ec_r2,ec_naive_mae,w52_ec_low_mae,w52_ec_high_mae,w52_ec_shock_mae,w52_ph_mid_mae,w52_ph_acidic_mae,w52_ph_alkaline_mae,w52_ph_jump_mae,w52_ec_balanced_mae,w52_ph_balanced_mae,w30_ec_mae,w30_ec_rmse,w30_ec_r2,w30_ec_naive_mae,w30_ec_low_mae,w30_ec_high_mae,w30_ec_shock_mae,w30_ph_mid_mae,w30_ph_acidic_mae,w30_ph_alkaline_mae,w30_ph_jump_mae,w30_ec_balanced_mae,w30_ph_balanced_mae,ho_ec_mae,ho_ec_rmse,ho_ec_r2,ho_ec_naive_mae,ho_ec_low_mae,ho_ec_high_mae,ho_ec_shock_mae,ho_ph_mid_mae,ho_ph_acidic_mae,ho_ph_alkaline_mae,ho_ph_jump_mae,ho_ec_balanced_mae,ho_ph_balanced_mae,aug17_drop_abs_err,aug17_spike_abs_err,sep21_0720_abs_err,score
both_day_flags,36,0.27631039567042726,0.3733249117739389,0.9449087926066906,0.8768421052631579,0.12682457696831834,0.17340264008500378,0.9812328279307954,0.19607719298245616,0.10263269396901857,0.3324555824623665,0.325164202307612,0.27664722128990604,0.19740095278904032,0.30214840315637126,0.34103144127456836,0.25341749291299903,0.2793070046274715,0.17098771869349083,0.27667782859478185,0.9451892535948125,0.24673468354430375,0.12121869262907899,0.40205819684968863,0.4574670467042508,0.5170145324050569,0.19740095278904032,0.5105788125038145,0.6904231891371213,0.32691464539433945,0.4788543717087583,0.3249559410049816,0.7464777567507863,0.6877958354639584,0.5569225,0.09182664679570518,1.2574731178420873,1.3281587712733156,0.4024538750387726,1.0900841719891206,0.1883663800731299,0.4662512435182195,0.892486178637036,0.5367889176548106,0.8296024771370949,1.369535503473454,0.44686509687598486,2.409768740290493
flush_timing40,40,0.28971042277397957,0.37882191842382323,0.9432744720616887,0.8768421052631579,0.14465047875608236,0.2351228784524766,0.9654953834976979,0.19607719298245616,0.09888283165724697,0.5336754790961834,0.5713815293845421,0.31991554515132004,0.16993633723418178,0.2879232822899659,0.35466817994658695,0.40131328004599087,0.2831108361555137,0.19066316708766265,0.3122175719766289,0.9302038153241664,0.24673468354430375,0.11599179983842818,0.5373516578876798,0.5951170263942308,0.5414565379962256,0.16993633723418178,0.4797797492183741,0.6835149316054722,0.4161534947067796,0.4686718890135634,0.3185956593661541,0.7164956141830844,0.7123714301247386,0.5569225,0.09010708870752573,1.2325499420006674,1.2874555168608255,0.3680875921845434,0.9793695281310597,0.23769703231751915,0.43388977962009956,0.8700375158563395,0.5047609830633055,0.8276876023640392,1.4102784732930618,1.1360996425069905,2.978095296120001
flush40,40,0.29798910877923346,0.3806192795548404,0.9427349144211549,0.8768421052631579,0.13956215818081155,0.22702048468986757,0.967832484549888,0.19607719298245616,0.10000679685685654,0.4757827294344294,0.6170457541410097,0.3325408053201192,0.1827088900708607,0.2887016007446107,0.34265483347723885,0.39761176014409855,0.28665153240320734,0.18225059254165427,0.30590868622120265,0.9329960174604859,0.24673468354430375,0.11753093752685861,0.48273470511034827,0.56650192419324,0.5498071887777436,0.1827088900708607,0.48588142151832564,0.6818066660703666,0.38892252227681556,0.4750510416093241,0.31780639385283826,0.7269002765022775,0.7039571221516652,0.5569225,0.09327457337244366,1.2159336757744166,1.2726538421566391,0.3812780263591556,1.0825734384553352,0.2080782317090779,0.42917727900373787,0.8606206971011664,0.5252767438818267,0.8931860705764283,1.4071658713063069,1.2047619212289207,3.0454467321335126
current,35,0.27456563591258454,0.37468533831894635,0.9445065472913947,0.8768421052631579,0.13120040232127037,0.24385274645194993,0.9628855757577576,0.19607719298245616,0.1068290406636253,0.33835697641125356,0.5003598252452596,0.28910302626735823,0.1686650120831026,0.2897904000324862,0.3198472866554711,0.31518194744004613,0.26685143125960453,0.17747051000630265,0.3119924476528305,0.9303044320442269,0.24673468354430375,0.12578424631462556,0.41744244857480356,0.5260359851414689,0.5190855716838396,0.1686650120831026,0.47053138474822037,0.6545777624779923,0.35642089334363264,0.4532149327482887,0.1988939015783459,0.37871449870049456,0.9196420566285419,0.5569225,0.08943648871958529,0.6367235530133886,0.66946181087135,0.3382248321175573,0.6791529947091244,0.1331427485868335,0.31128199820003744,0.46520728420144125,0.3654506434033881,0.8308910313914781,1.3950953077416148,1.457895548975313,3.050700099404363
ec_timing40,40,0.29154171364877085,0.3800469978831503,0.9429069872698392,0.8768421052631579,0.15441373393143062,0.29971725795073906,0.9439325342463484,0.19607719298245616,0.10165930958039311,0.6028263409152497,0.8607243854358421,0.3069286168190471,0.21114166253269293,0.29709315011898674,0.35941674925100286,0.5217366786438283,0.2936450446804324,0.19809927181661333,0.35115503029259454,0.9117093351524381,0.24673468354430375,0.11843069225675594,0.5679891054873797,0.693976031854976,0.5269367552820383,0.21114166253269293,0.4830116892933844,0.6809177379467736,0.4601319431997039,0.47550196126372235,0.2873313473154034,0.6776145244767384,0.7427411274140687,0.5569225,0.08726689373546434,1.0875891616351596,1.1746835428920661,0.38389585504680857,1.0402380873607624,0.17715373205952334,0.407537895272954,0.7831798660875634,0.5022063924350121,0.8606375670977093,1.4062665431862296,1.824110689974943,3.487670570119573
