timestamp,pos,gap_hours,ph0,ph_true,ph_pred,ph_err,ec0,ec_true,ec_pred,ec_err,huber_gate
2025-08-21 13:00:00,40,0.0,8.14,8.14,8.14,0.0,0.738,0.738,0.738,0.0,False
2025-08-21 15:00:00,41,2.0,8.14,7.54,8.152716396711767,0.6127163967117673,0.738,0.82782,0.6613054239694902,0.1665145760305098,False
2025-08-25 09:00:00,42,90.0,7.54,9.07,7.483512924015522,1.5864870759844782,0.82782,0.327,0.6820735923245904,0.3550735923245904,False
2025-08-25 16:00:00,43,7.0,9.07,9.86,9.471055067777634,0.3889449322223655,0.327,0.327,0.4348949199233217,0.10789491992332167,False
2025-08-26 12:00:00,44,20.0,9.86,7.37,10.246236608028411,2.876236608028411,0.327,0.266,0.2961275850620706,0.030127585062070583,False
2025-08-26 16:30:00,45,4.5,7.37,7.36,8.399098391532899,1.0390983915328986,0.266,0.314,0.3394343478448659,0.025434347844865923,False
2025-08-27 11:40:00,46,19.166666666666668,7.36,7.76,7.607401088476181,0.15259891152381844,0.314,0.181,0.2791190271105798,0.09811902711057979,False
2025-08-27 14:10:00,47,2.5,7.76,8.93,7.703891961127519,1.2261080388724803,0.181,0.294,0.2163235739951747,0.07767642600482527,False
2025-08-28 13:30:00,48,23.333333333333332,8.93,7.62,8.13957225561142,0.5195722556114193,0.294,0.358,0.2364206327456183,0.12157936725438168,False
2025-08-28 15:00:00,49,1.5,7.62,10.29,8.033864791393281,2.256135208606718,0.358,0.174,0.5886804487632945,0.4146804487632945,False
2025-08-31 08:20:00,50,65.33333333333333,10.29,7.73,9.466813185214995,1.736813185214995,0.174,0.18,0.15076889095022783,0.029231109049772164,False
2025-08-31 12:30:00,51,4.166666666666667,7.73,10.49,8.91124783039093,1.5787521696090696,0.18,0.167,0.1869015593685716,0.019901559368571603,False
2025-09-01 08:30:00,52,20.0,10.49,9.76,8.9284526014328,0.8315473985671993,0.167,0.292,0.16722308699991445,0.12477691300008553,False
2025-09-01 12:30:00,53,4.0,9.76,10.38,10.41178644657135,0.0317864465713491,0.292,0.306,0.2907850720147059,0.015214927985294113,False
2025-09-02 08:30:00,54,20.0,10.38,8.0,9.421723549365998,1.421723549365998,0.306,0.168,0.3125148167191402,0.1445148167191402,False
2025-09-02 15:00:00,55,6.5,8.0,10.34,9.618305802345276,0.721694197654724,0.168,0.299,0.22263419724338673,0.07636580275661325,False
2025-09-03 09:00:00,56,18.0,10.34,8.87,8.795106139183044,0.07489386081695493,0.299,0.301,0.2415919069276095,0.05940809307239048,False
2025-09-03 15:20:00,57,6.333333333333333,8.87,10.32,10.082511658668517,0.237488341331483,0.301,0.308,0.37055738531764487,0.06255738531764488,False
2025-09-07 08:50:00,58,89.5,10.32,8.25,8.381278581619263,0.13127858161926298,0.308,0.334,0.22726951809638368,0.10673048190361634,False
2025-09-07 15:30:00,59,6.666666666666667,8.25,10.01,9.71149456501007,0.298505434989929,0.334,0.1548,0.4937819489862358,0.3389819489862358,False
2025-09-08 09:30:00,60,18.0,10.01,8.8,8.673761854171753,0.126238145828248,0.1548,0.326,0.17821424897826593,0.14778575102173408,False
2025-09-08 13:50:00,61,4.333333333333333,8.8,9.76,8.778597650304437,0.9814023496955624,0.326,0.156,0.28411925905093377,0.12811925905093377,False
2025-09-09 08:30:00,62,18.666666666666668,9.76,7.9,8.136665353775024,0.23666535377502385,0.156,0.348,0.1875253801316662,0.16047461986833378,False
2025-09-09 14:10:00,63,5.666666666666667,7.9,9.9,9.711884045600891,0.1881159543991089,0.348,0.3,0.3290480807459053,0.029048080745905314,False
2025-09-09 15:40:00,64,1.5,9.9,9.88,10.171249890327454,0.2912498903274532,0.3,0.347,0.301876609710057,0.045123390289943,False
2025-09-09 18:40:00,65,3.0,9.88,9.33,9.38037682056427,0.05037682056427073,0.347,0.161,0.29122441818024314,0.13022441818024313,False
2025-09-10 07:50:00,66,13.166666666666666,9.33,7.87,7.852379517555237,0.01762048244476322,0.161,0.342,0.23645315235283282,0.10554684764716721,False
2025-09-10 11:30:00,67,3.6666666666666665,7.87,9.5,9.275832171440126,0.2241678285598745,0.342,0.292,0.2595993890653276,0.03240061093467239,False
2025-09-10 13:50:00,68,2.3333333333333335,9.5,10.16,9.990260511636734,0.16973948836326613,0.292,0.303,0.3462684348338499,0.0432684348338499,False
2025-09-10 15:50:00,69,2.0,10.16,10.22,10.282030057013035,0.06203005701303432,0.303,0.306,0.25629259244359137,0.04970740755640862,False
2025-09-11 07:50:00,70,16.0,10.22,7.81,8.253730983734131,0.4437309837341319,0.306,0.336,0.31124833878304803,0.024751661216951992,False
2025-09-11 11:20:00,71,3.5,7.81,9.24,9.380005059242247,0.14000505924224704,0.336,0.17,0.3167510627478357,0.1467510627478357,False
2025-09-11 13:30:00,72,2.1666666666666665,9.24,9.39,9.920764138698578,0.5307641386985775,0.17,0.348,0.2225417554037888,0.1254582445962112,False
2025-09-11 14:10:00,73,0.6666666666666666,9.39,10.06,9.65371517777443,0.4062848222255706,0.348,0.325,0.3163365402962911,0.008663459703708909,False
2025-09-11 17:20:00,74,3.1666666666666665,10.06,9.56,9.243347463607789,0.3166525363922119,0.325,0.288,0.3248037401961154,0.03680374019611543,False
2025-09-11 18:10:00,75,0.8333333333333334,9.56,9.05,9.124544171094895,0.0745441710948942,0.288,0.349,0.37026235084842646,0.02126235084842648,False
2025-09-14 08:30:00,76,62.333333333333336,9.05,8.48,8.538957822322846,0.05895782232284574,0.349,0.177,0.3016102719745134,0.12461027197451341,False
2025-09-14 11:30:00,77,3.0,8.48,9.26,9.381987612247467,0.12198761224746768,0.177,0.286,0.23414650927546948,0.05185349072453049,False
2025-09-14 12:20:00,78,0.8333333333333334,9.26,9.65,9.639909068346023,0.010090931653977009,0.286,0.316,0.3073244970300394,0.008675502969960613,False
2025-09-14 15:10:00,79,2.8333333333333335,9.65,9.95,10.031578147411347,0.0815781474113475,0.316,0.156,0.2999976073245848,0.1439976073245848,False
2025-09-14 18:00:00,80,2.8333333333333335,9.95,9.36,9.152681899070739,0.2073181009292604,0.156,0.307,0.22556217796524525,0.08143782203475475,False
2025-09-15 08:10:00,81,14.166666666666666,9.36,7.92,7.88289593219757,0.0371040678024297,0.307,0.198,0.26817297921656513,0.07017297921656512,False
2025-09-15 12:00:00,82,3.8333333333333335,7.92,9.45,9.29183153629303,0.15816846370696958,0.198,0.321,0.34279516461524917,0.021795164615249163,False
2025-09-15 14:10:00,83,2.1666666666666665,9.45,10.13,9.909662497043609,0.22033750295639187,0.321,0.332,0.27521916105948796,0.05678083894051206,False
2025-09-15 15:30:00,84,1.3333333333333333,10.13,10.2,10.266554285883904,0.066554285883905,0.332,0.334,0.35664010084043857,0.02264010084043855,False
2025-09-15 17:40:00,85,2.1666666666666665,10.2,9.09,9.392892909049987,0.3028929090499872,0.334,0.383,0.3337403399377955,0.0492596600622045,False
2025-09-16 06:40:00,86,13.0,9.09,7.66,8.30357637643814,0.6435763764381406,0.383,0.358,0.34893795895187113,0.009062041048128855,False
2025-09-16 08:50:00,87,2.1666666666666665,7.66,8.14,8.194250020980835,0.054250020980834535,0.358,0.183,0.4030655520497251,0.2200655520497251,False
2025-09-16 10:00:00,88,1.1666666666666667,8.14,7.94,8.781033709049225,0.841033709049225,0.183,0.414,0.30617076475966976,0.10782923524033022,False
2025-09-16 12:10:00,89,2.1666666666666665,7.94,9.5,8.578314306735994,0.9216856932640063,0.414,0.302,0.4139293372649617,0.11192933726496174,False
2025-09-16 13:50:00,90,1.6666666666666667,9.5,9.88,9.824071824550629,0.05592817544937212,0.302,0.309,0.3869206620704114,0.07792066207041143,False
2025-09-17 08:50:00,91,19.0,9.88,8.3,8.188905005455018,0.11109499454498284,0.309,0.215,0.25312032861637923,0.038120328616379234,False
2025-09-17 11:50:00,92,3.0,8.3,8.88,9.281250822544099,0.40125082254409783,0.215,0.128,0.3425089476705782,0.2145089476705782,False
2025-09-17 13:30:00,93,1.6666666666666667,8.88,9.78,9.340305988788606,0.43969401121139384,0.128,0.333,0.2386619599632258,0.0943380400367742,False
2025-09-17 15:20:00,94,1.8333333333333333,9.78,9.85,9.928952648043632,0.07895264804363222,0.333,0.221,0.30576012149233567,0.08476012149233567,False
2025-09-18 07:10:00,95,15.833333333333334,9.85,7.76,7.745786046981811,0.014213953018188619,0.221,0.47,0.32987274846931114,0.14012725153068883,False
2025-09-18 09:40:00,96,2.5,7.76,6.97,7.152256232445935,0.18225623244593514,0.47,0.795,0.7643220799672267,0.030677920032773365,True
