name,extra,mask,shock_weight,blend,features,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,sep21_ec_pred,sep21_ec_err,sep21_type,n_train,n_spec,n_shock,base_ec,spec_ec,pred_ec,type
baseline_extra_none,,chem,8.0,1.0,44,0.9494931071755421,0.9602639440913019,0.2654467537431321,0.13303107349232982,2.7593759898483836,1.4706240101516168,huber,229,161,10,0.5450441232694612,2.7593759898483836,2.7593759898483836,huber
baseline_extra_none,,salt,0.0,1.0,44,0.8971126611440204,0.7982732355836473,0.32180809787570946,0.20664476585694685,1.9846363381546304,2.24536366184537,huber,229,64,10,0.5450441232694612,1.9846363381546304,1.9846363381546304,huber
add_fert_total,fert_salt_total_t0_t1,chem,8.0,1.0,45,0.9378526195360147,0.953984449922594,0.29088515453100766,0.13976642345027362,2.537355516207379,1.6926444837926216,huber,229,161,10,0.49408519251635646,2.537355516207379,2.537355516207379,huber
add_fert_total,fert_salt_total_t0_t1,salt,0.0,1.0,45,0.885925744264496,0.6831620908296606,0.34735672152485525,0.2358866364406519,1.3804138514367161,2.8495861485632843,huber,229,64,10,0.49408519251635646,1.3804138514367161,1.3804138514367161,huber
add_fert_events,fert_salt_total_t0_t1+fertigation_event+low_dilution_event+super_shock_event,chem,8.0,1.0,48,0.9382789378784254,0.9286414134398946,0.3002648116323324,0.14231067846933246,1.8829739472475169,2.3470260527524838,huber,229,161,10,0.5826695606982498,1.8829739472475169,1.8829739472475169,huber
add_fert_events,fert_salt_total_t0_t1+fertigation_event+low_dilution_event+super_shock_event,salt,0.0,1.0,48,0.8786603220579191,-168.39767690054964,0.361716539425038,2.35117543535367,128.53842661927442,124.30842661927441,huber,229,64,10,0.5826695606982498,128.53842661927442,128.53842661927442,huber
add_fert_et0,fert_salt_total_t0_t1+ET0_sum_t0_t1,chem,8.0,1.0,46,0.9362936013170925,0.9873042123267181,0.3007064874704592,0.10826949795422523,4.12993231608288,0.1000676839171204,huber,229,161,10,0.513637190258279,4.12993231608288,4.12993231608288,huber
add_fert_et0,fert_salt_total_t0_t1+ET0_sum_t0_t1,salt,0.0,1.0,46,0.8960751949600148,0.8959706185634018,0.3526739923518208,0.16541917745809398,7.052490087248464,2.8224900872484637,huber,229,64,10,0.513637190258279,7.052490087248464,7.052490087248464,huber
add_all_missing_ecspec,fert_salt_total_t0_t1+ET0_sum_t0_t1+super_shock_event+low_dilution_event+fertigation_event,chem,8.0,1.0,49,0.9242040541077592,0.9837364179416229,0.31591594736467765,0.11618200733439119,3.9215859935614428,0.30841400643855765,huber,229,161,10,0.5045239327932812,3.9215859935614428,3.9215859935614428,huber
add_all_missing_ecspec,fert_salt_total_t0_t1+ET0_sum_t0_t1+super_shock_event+low_dilution_event+fertigation_event,salt,0.0,1.0,49,0.8918689671553373,-95.61390474883127,0.3336896324410558,1.7926342984098753,98.13047561521795,93.90047561521794,huber,229,64,10,0.5045239327932812,98.13047561521795,98.13047561521795,huber
