experiment,objective,params,n_eval,mae,mae_nonzero,rmse,naive_mae,r2,aug22_mae,aug22_rmse,aug22_n,aug_all_mae,aug_all_n,sep21_0720_true,sep21_0720_pred,sep21_0720_err,retrains
pseudohuber_slope2|cfg19_balanced,reg:pseudohubererror_huber2,cfg19_balanced,78,0.1738168752302921,0.1760452967076036,0.4632959200941415,0.2467346835443037,0.8463141262851348,0.3369817758097574,0.5539553865546851,11,0.2282062253574598,21,4.23,0.6909475715636588,3.5390524284363414,79
squarederror|cfg19_balanced,reg:squarederror,cfg19_balanced,78,0.179409494107499,0.1817096158268259,0.4671668543285362,0.2467346835443037,0.8437352423625591,0.3573777920017666,0.5623730617929276,11,0.2409842962470092,21,4.23,0.6724995351548595,3.557500464845141,79
squarederror|base,reg:squarederror,base,78,0.1798531936133877,0.1821590037879184,0.4673678453711541,0.2467346835443037,0.8436007526288571,0.3567832324359701,0.5674073077246633,11,0.2386804593312967,21,4.23,0.6798783732118225,3.5501216267881777,79
squarederror|cfg39_aug_focus,reg:squarederror,cfg39_aug_focus,78,0.1877360963561572,0.1901429693863643,0.4752187425324788,0.2467346835443037,0.8383021964484918,0.3216343825959559,0.5191573879775396,11,0.2208911746813812,21,4.23,0.6256002729583312,3.604399727041669,79
pseudohuber|cfg39_aug_focus,reg:pseudohubererror,cfg39_aug_focus,78,0.1898542720453439,0.1922883011741304,0.4740408413772831,0.2467346835443037,0.8391027876949768,0.3551835836163483,0.5364524156237431,11,0.2375156126002885,21,4.23,0.6392051554784798,3.5907948445215205,79
pseudohuber_slope1|cfg39_aug_focus,reg:pseudohubererror_huber1,cfg39_aug_focus,78,0.1898542720453439,0.1922883011741304,0.4740408413772831,0.2467346835443037,0.8391027876949768,0.3551835836163483,0.5364524156237431,11,0.2375156126002885,21,4.23,0.6392051554784798,3.5907948445215205,79
custom_asym_under3|cfg39_aug_focus,custom_asym_under3,cfg39_aug_focus,78,0.19138668499066316,0.1938403604392614,0.48657747734094686,0.24673468354430375,0.8304799764704607,0.434695549277165,0.6348472263211637,11,0.2852946389500005,21,4.23,0.6185488930748391,3.6114511069251614,79
pseudohuber_slope2|cfg39_aug_focus,reg:pseudohubererror_huber2,cfg39_aug_focus,78,0.1922931893985,0.1947584866984808,0.4780058587251916,0.2467346835443037,0.8363999476615684,0.3412106421489591,0.5329976573886687,11,0.2307097377111172,21,4.23,0.6534252227766069,3.5765747772233936,79
pseudohuber|cfg19_balanced,reg:pseudohubererror,cfg19_balanced,78,0.1957961291482625,0.1983063359322145,0.4804564175035319,0.2467346835443037,0.8347182142707866,0.3773023221627705,0.581276138969885,11,0.2476170221395938,21,4.23,0.6451816095493441,3.584818390450656,79
pseudohuber_slope1|cfg19_balanced,reg:pseudohubererror_huber1,cfg19_balanced,78,0.1957961291482625,0.1983063359322145,0.4804564175035319,0.2467346835443037,0.8347182142707866,0.3773023221627705,0.581276138969885,11,0.2476170221395938,21,4.23,0.6451816095493441,3.584818390450656,79
