gate,blend,active,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,sep2_morning_pred,sep2_morning_err,sep2_afternoon_pred,sep2_afternoon_err,sep2_afternoon_gate
salt_only,1.0,2,0.9494931071755421,0.9602639440913019,0.2654467537431321,0.13303107349232982,9.261104946136475,1.2611049461364754,9.501739144325256,0.8382608556747435,False
salt_only,1.2,2,0.9490580109887868,0.9816823547966882,0.2670199201860112,0.11601186285499263,9.261104946136475,1.2611049461364754,9.501739144325256,0.8382608556747435,False
salt_only,0.8,2,0.9484934298351193,0.9297876302682948,0.2706631991413477,0.14793622762221015,9.261104946136475,1.2611049461364754,9.501739144325256,0.8382608556747435,False
salt_only,0.5,2,0.944303713461026,0.8855266914036394,0.2826153820922944,0.16362153645780006,9.261104946136475,1.2611049461364754,9.501739144325256,0.8382608556747435,False
salt_or_rebound1,0.5,8,0.9402928264784769,0.8856913465229019,0.2952728244048874,0.1627043347146847,9.261104946136475,1.2611049461364754,9.940819961290236,0.3991800387097637,True
salt_or_rebound2,0.5,8,0.9402928264784769,0.8856913465229019,0.2952728244048874,0.1627043347146847,9.261104946136475,1.2611049461364754,9.940819961290236,0.3991800387097637,True
salt_or_rebound3,0.5,8,0.9402928264784769,0.8856913465229019,0.2952728244048874,0.1627043347146847,9.261104946136475,1.2611049461364754,9.940819961290236,0.3991800387097637,True
salt_or_rebound1,0.8,8,0.9343177636740216,0.9295124425762556,0.29878796182718514,0.1500798782930787,9.261104946136475,1.2611049461364754,10.204268451469224,0.13573154853077618,True
salt_or_rebound2,0.8,8,0.9343177636740216,0.9295124425762556,0.29878796182718514,0.1500798782930787,9.261104946136475,1.2611049461364754,10.204268451469224,0.13573154853077618,True
salt_or_rebound3,0.8,8,0.9343177636740216,0.9295124425762556,0.29878796182718514,0.1500798782930787,9.261104946136475,1.2611049461364754,10.204268451469224,0.13573154853077618,True
salt_or_rebound1,1.0,8,0.9253083186499875,0.959336412095541,0.3052830906516665,0.13831621326066537,9.261104946136475,1.2611049461364754,10.379900778255216,0.039900778255216096,True
salt_or_rebound2,1.0,8,0.9253083186499875,0.959336412095541,0.3052830906516665,0.13831621326066537,9.261104946136475,1.2611049461364754,10.379900778255216,0.039900778255216096,True
salt_or_rebound3,1.0,8,0.9253083186499875,0.959336412095541,0.3052830906516665,0.13831621326066537,9.261104946136475,1.2611049461364754,10.379900778255216,0.039900778255216096,True
salt_or_rebound1,1.2,8,0.9122780177691023,0.9796790397909175,0.32333034179200665,0.12531575803721723,9.261104946136475,1.2611049461364754,10.555533105041208,0.21553310504120837,True
salt_or_rebound2,1.2,8,0.9122780177691023,0.9796790397909175,0.32333034179200665,0.12531575803721723,9.261104946136475,1.2611049461364754,10.555533105041208,0.21553310504120837,True
salt_or_rebound3,1.2,8,0.9122780177691023,0.9796790397909175,0.32333034179200665,0.12531575803721723,9.261104946136475,1.2611049461364754,10.555533105041208,0.21553310504120837,True
