experiment,n_features,priors,mae,rmse,naive_mae,r2,mae_no_sep21,rmse_no_sep21,aug_mae,aug_rmse,aug_top_err,sep21_pred,sep21_err,runtime_s,err_20250817_124000,err_20250819_173000,err_20250821_130000,err_20250828_150000
current25|real,25,none,0.18674144925586775,0.4727576118417183,0.24989794871794865,0.8384750808851812,0.14300394544923867,0.24963097726514397,0.2404572266364136,0.4216508521064683,1.5129862417172506,0.6754707576336924,3.554529242366308,15.178101539611816,1.5129862417172506,0.7735610687505114,0.5176151270634555,0.3761705145965237
spike_pressure25|real,25,none,0.1948887312689496,0.4784184150961502,0.24989794871794865,0.8345837207196984,0.15099445626831257,0.2567059927944705,0.26260670739460956,0.4360934132756101,1.5085516796387928,0.6552520936819953,3.574747906318005,15.829125165939331,1.5085516796387928,0.705898303426598,0.5012812165441127,0.34382185958618355
spike_pressure25|washout,25,washout:64:w0.8,0.20354316552176926,0.5016441556970677,0.24989794871794865,0.8181329652539489,0.16045660672468795,0.30641513008968596,0.2930129403891643,0.5397697164976827,2.0074924033947523,0.7087918071029712,3.521208192897029,16.73569393157959,2.0074924033947523,0.3534356145841604,0.025726957183384136,0.3358585447948759
spike_pressure25|medium,25,medium_spike:48:w0.8,0.20431041459728108,0.4740656312295864,0.24989794871794865,0.8375800344567008,0.16302577925200556,0.28107756851743854,0.3097722126906912,0.48314389058327384,1.4668050083429183,0.8467726638165034,3.383227336183497,16.760648727416992,1.4668050083429183,0.9458040247667592,0.8545149235172336,0.40272836218339986
current25|medium,25,medium_spike:48:w0.8,0.2070989493464944,0.47136091236581457,0.24989794871794865,0.8394280788233264,0.1671375751368333,0.29153982363518616,0.27652324933545175,0.4547482374787127,1.396691162925171,0.9458752365096041,3.2841247634903965,17.030305862426758,1.396691162925171,0.9796591087559192,0.845883774090368,0.3661714948035278
current25|washout,25,washout:64:w0.8,0.20800133832216597,0.5063783984169266,0.24989794871794865,0.8146840442958178,0.16446207548823294,0.308396632070711,0.273465268986151,0.4882889504219035,1.8067007251366287,0.6694754234649898,3.560524576535011,16.92269539833069,1.8067007251366287,0.2731093720487425,0.010138064597860152,0.3504981108395639
spike_pressure25|all_soft,25,medium_spike:48:w0.7;washout:64:w0.7;short_shock:32:w0.45,0.21397445747745045,0.4636459676792388,0.24989794871794865,0.8446413473491422,0.17851014768316234,0.3242585638652399,0.32983098834222635,0.5560835331210222,1.8613538238010325,1.2852736883623634,2.9447263116376368,18.43255066871643,1.8613538238010325,0.637643759733795,0.22815703013842215,0.42622589013982976
spike_pressure25|medium_washout,25,medium_spike:48:w0.8;washout:64:w0.8,0.21420344214537365,0.4913343549972074,0.24989794871794865,0.8255316171068349,0.17439626048281384,0.32385178546760396,0.32137269090110726,0.5499360245304876,1.9751156732626982,0.9506435698375262,3.2793564301624745,17.766607761383057,1.9751156732626982,0.26397294353813905,0.16961345059163058,0.4221439597513977
current25|medium_washout,25,medium_spike:48:w0.8;washout:64:w0.8,0.23082140562649336,0.500528496653259,0.24989794871794865,0.8189410120445195,0.19108573665394857,0.336407016454694,0.33504821743287444,0.5446040435244707,1.9175957378154203,0.9395320834875586,3.290467916512442,17.84607696533203,1.9175957378154203,0.16502593066339521,0.13845726931741942,0.4256722764286451
current25|all_soft,25,medium_spike:48:w0.7;washout:64:w0.7;short_shock:32:w0.45,0.24395159632196994,0.4938388106148401,0.24989794871794865,0.8237484650219136,0.20844686060953316,0.36315712551964546,0.3707192246018724,0.5898223779447733,1.8478739331562952,1.2521837538203973,2.977816246179603,18.305368185043335,1.8478739331562952,0.6505567483397994,0.11623771297814833,0.5079396808845629
