timestamp,gap_hours,ph_true,ph_pred,ph_naive,ec_true,ec_pred,ec_naive,specialist_active,specialist_type,n_train
2025-09-01 08:30:00,0.0,9.76,9.76,9.76,0.292,0.292,0.292,False,base,67
2025-09-01 12:30:00,4.0,10.38,10.930314073562622,9.76,0.306,0.2897366747312769,0.292,False,base,67
2025-09-02 08:30:00,20.0,8.0,9.255461697578431,10.38,0.168,0.32615883035872867,0.306,False,base,68
2025-09-02 15:00:00,6.5,10.34,9.75049614906311,8.0,0.299,0.23191114955645542,0.168,False,base,70
2025-09-03 09:00:00,18.0,8.87,8.82356020450592,10.34,0.301,0.2553431452542587,0.299,False,base,71
2025-09-03 15:20:00,6.333333333333333,10.32,9.98673891544342,8.87,0.308,0.3583854477213099,0.301,False,base,73
2025-09-07 08:50:00,89.5,8.25,8.45439166545868,10.32,0.334,0.22704352482279672,0.308,False,base,75
2025-09-07 15:30:00,6.666666666666667,10.01,9.673834443092346,8.25,0.1548,0.4263224225546973,0.334,False,base,76
2025-09-08 09:30:00,18.0,8.8,9.115388462543487,10.01,0.326,0.17989149912260738,0.1548,False,base,77
2025-09-08 13:50:00,4.333333333333333,9.76,9.18823887705803,8.8,0.156,0.26996409009148337,0.326,False,base,79
2025-09-09 08:30:00,18.666666666666668,7.9,8.168722877502441,9.76,0.348,0.16361535316512207,0.156,False,base,80
2025-09-09 14:10:00,5.666666666666667,9.9,9.66946496963501,7.9,0.3,0.26977011537479534,0.348,False,base,82
2025-09-09 15:40:00,1.5,9.88,10.164774650335312,9.9,0.347,0.2555694621809098,0.3,False,base,83
2025-09-09 18:40:00,3.0,9.33,8.900130038261414,9.88,0.161,0.2665762311831739,0.347,False,base,85
2025-09-10 07:50:00,13.166666666666666,7.87,7.65659387588501,9.33,0.342,0.2790920736572658,0.161,False,base,88
2025-09-10 11:30:00,3.6666666666666665,9.5,9.283235545158387,7.87,0.292,0.2347402775305092,0.342,False,base,92
2025-09-10 13:50:00,2.3333333333333335,10.16,10.296352803707123,9.5,0.303,0.3191847074402967,0.292,False,base,95
2025-09-10 15:50:00,2.0,10.22,10.28446303665638,10.16,0.306,0.24606708634804159,0.303,False,base,99
2025-09-11 07:50:00,16.0,7.81,8.374773712158204,10.22,0.336,0.3255032775704308,0.306,False,base,104
2025-09-11 11:20:00,3.5,9.24,9.180238304138182,7.81,0.17,0.3020887446477242,0.336,False,base,108
2025-09-11 13:30:00,2.1666666666666665,9.39,10.04228066444397,9.24,0.348,0.2247759273944374,0.17,False,base,112
2025-09-11 14:10:00,0.6666666666666666,10.06,9.848492517471314,9.39,0.325,0.2475905572278599,0.348,False,base,116
