target,evaluation,global_mae,balanced_mae,balanced_minus_global
EC,warmup52,0.10369731014406387,0.10589418508280009,0.002196874938736215
EC,warmup30,0.15796472588488328,0.2801015589663182,0.12213683308143494
EC,holdout,0.30786421420641086,0.8259825162916675,0.5181183020852567
pH,warmup52,0.2909769159859985,0.29615331788114646,0.005176401895147953
pH,holdout,0.31772794959105355,0.43476082350195133,0.11703287391089778
