timestamp,ph_true,ph_pred,ph_naive,gap_hours,ec_true,ec_pred,ec_naive
2025-09-01 08:30:00,9.76,9.76,9.76,0.0,0.292,0.292,0.292
2025-09-01 12:30:00,10.38,10.660619745254516,9.76,4.0,0.306,0.2953837326594148,0.292
2025-09-02 08:30:00,8.0,9.554413919448853,10.38,20.0,0.168,0.3329328354828638,0.306
2025-09-02 15:00:00,10.34,9.520103812217712,8.0,6.5,0.299,0.22484120787881748,0.168
2025-09-03 09:00:00,8.87,8.7303648853302,10.34,18.0,0.301,0.22429647228573726,0.299
2025-09-03 15:20:00,10.32,10.18471574306488,8.87,6.333333333333333,0.308,0.3731038450385473,0.301
2025-09-07 08:50:00,8.25,8.721209115982056,10.32,89.5,0.334,0.24124250965924907,0.308
2025-09-07 15:30:00,10.01,9.857375741004944,8.25,6.666666666666667,0.1548,0.3955216624622193,0.334
2025-09-08 09:30:00,8.8,8.875046977996826,10.01,18.0,0.326,0.20297237249841305,0.1548
2025-09-08 13:50:00,9.76,9.48380892276764,8.8,4.333333333333333,0.156,0.29645014792279284,0.326
2025-09-09 08:30:00,7.9,8.122910270690918,9.76,18.666666666666668,0.348,0.21095136791303748,0.156
2025-09-09 14:10:00,9.9,9.85794677734375,7.9,5.666666666666667,0.3,0.2546468095127138,0.348
2025-09-09 15:40:00,9.88,10.017248639464379,9.9,1.5,0.347,0.3073441599105363,0.3
2025-09-09 18:40:00,9.33,9.266891663074494,9.88,3.0,0.161,0.23171023056457057,0.347
2025-09-10 07:50:00,7.87,7.96121235370636,9.33,13.166666666666666,0.342,0.27651698011049836,0.161
2025-09-10 11:30:00,9.5,9.316841001510621,7.87,3.6666666666666665,0.292,0.2848203545739795,0.342
2025-09-10 13:50:00,10.16,10.181200325489044,9.5,2.3333333333333335,0.303,0.2850139247566384,0.292
2025-09-10 15:50:00,10.22,10.293387431502342,10.16,2.0,0.306,0.21008762124174182,0.303
2025-09-11 07:50:00,7.81,8.378104300498963,10.22,16.0,0.336,0.2612211895802923,0.306
2025-09-11 11:20:00,9.24,9.098219094276427,7.81,3.5,0.17,0.30596815545325423,0.336
2025-09-11 13:30:00,9.39,9.843336930274964,9.24,2.1666666666666665,0.348,0.20546563513544347,0.17
2025-09-11 14:10:00,10.06,9.968064858913422,9.39,0.6666666666666666,0.325,0.21299970801524734,0.348
2025-09-11 17:20:00,9.56,9.120470402240754,10.06,3.1666666666666665,0.288,0.21803515049112251,0.325
2025-09-11 18:10:00,9.05,9.471942340433598,9.56,0.8333333333333334,0.349,0.3394063135389939,0.288
2025-09-14 08:30:00,8.48,8.384821522235871,9.05,62.333333333333336,0.177,0.24942190431113453,0.349
2025-09-14 11:30:00,9.26,9.10109524011612,8.48,3.0,0.286,0.22122457275351853,0.177
2025-09-14 12:20:00,9.65,9.556954989433288,9.26,0.8333333333333334,0.316,0.23497466492267968,0.286
2025-09-14 15:10:00,9.95,9.905266517400742,9.65,2.8333333333333335,0.156,0.26693985005574267,0.316
2025-09-14 18:00:00,9.36,9.307271671295165,9.95,2.8333333333333335,0.307,0.27059629944354624,0.156
2025-09-15 08:10:00,7.92,7.785295948982238,9.36,14.166666666666666,0.198,0.24184581049231726,0.307
2025-09-15 12:00:00,9.45,9.390058798789978,7.92,3.8333333333333335,0.321,0.26659823996437165,0.198
2025-09-15 14:10:00,10.13,9.8898735165596,9.45,2.1666666666666665,0.332,0.19739426042470756,0.321
2025-09-15 15:30:00,10.2,10.214482789039613,10.13,1.3333333333333333,0.334,0.3011460685048562,0.332
2025-09-15 17:40:00,9.09,9.48799170255661,10.2,2.1666666666666665,0.383,0.23848659443603135,0.334
2025-09-16 06:40:00,7.66,8.02180787563324,9.09,13.0,0.358,0.38836945192081646,0.383
2025-09-16 08:50:00,8.14,8.088129345178604,7.66,2.1666666666666665,0.183,0.4147928214565388,0.358
2025-09-16 10:00:00,7.94,8.459276958703995,8.14,1.1666666666666667,0.414,0.3133752549174963,0.183
2025-09-16 12:10:00,9.5,8.710837962627412,7.94,2.1666666666666665,0.302,0.3862471417945946,0.414
2025-09-16 13:50:00,9.88,9.867722392082214,9.5,1.6666666666666667,0.309,0.3404867343308792,0.302
2025-09-17 08:50:00,8.3,8.221928839683533,9.88,19.0,0.215,0.21396247520000797,0.309
2025-09-17 11:50:00,8.88,9.30540566444397,8.3,3.0,0.128,0.3286823848343811,0.215
2025-09-17 13:30:00,9.78,9.413835709095002,8.88,1.6666666666666667,0.333,0.25649612387801696,0.128
2025-09-17 15:20:00,9.85,10.061415790319442,9.78,1.8333333333333333,0.221,0.2605112946535338,0.333
2025-09-18 07:10:00,7.76,7.97299633026123,9.85,15.833333333333334,0.47,0.2766855610984137,0.221
2025-09-18 09:40:00,6.97,8.163886715573602,7.76,2.5,0.795,0.5454830098807927,0.47
2025-09-18 10:30:00,6.71,7.380707831382751,6.97,0.8333333333333334,0.968,0.8280705781547683,0.795
2025-09-18 12:00:00,7.27,6.950204483270645,6.71,1.5,0.98,0.6989819006709251,0.968
2025-09-18 13:10:00,7.08,7.3366713714599605,7.27,1.1666666666666667,0.662,0.9054002791554542,0.98
2025-09-18 14:10:00,6.65,7.275260420441628,7.08,1.0,0.709,0.8932299529264366,0.662
2025-09-18 15:10:00,6.8,6.444523179531098,6.65,1.0,0.68,0.5973527930122576,0.709
2025-09-21 06:30:00,6.19,6.079781460762024,6.8,63.333333333333336,0.501,0.6039890894164112,0.68
2025-09-21 07:20:00,4.75,5.393563278629951,6.19,0.8333333333333334,4.23,4.584638637311653,0.501
2025-09-21 08:40:00,4.75,4.468615263700485,4.75,1.3333333333333333,4.97,3.993333874016915,4.23
2025-09-21 10:30:00,5.17,5.162010729312897,4.75,1.8333333333333333,4.52,4.282991065237292,4.97
2025-09-21 11:40:00,5.25,5.608350677490234,5.17,1.1666666666666667,4.4,4.251281452951609,4.52
2025-09-21 13:40:00,5.33,5.558275401592255,5.25,2.0,4.53,4.238391071238067,4.4
2025-09-21 15:30:00,5.4,5.589193420410156,5.33,1.8333333333333333,3.87,4.079578181345518,4.53
