timestamp,ec_true,ec_pred,ec_naive,gap_hours
2025-08-14 12:30:00,2.39,2.39,2.39,0.0
2025-08-14 16:20:00,2.52,2.399094009650958,2.39,3.8333333333333335
2025-08-17 08:10:00,1.145,1.5129573364793245,2.52,63.833333333333336
2025-08-17 12:40:00,2.68,1.2671086864462926,1.145,4.5
2025-08-18 08:30:00,1.932,1.7076137203157105,2.68,19.833333333333332
2025-08-18 14:40:00,2.93,2.8178922738891616,1.932,6.166666666666667
2025-08-19 12:30:00,1.752,1.7358530675880839,2.93,21.833333333333332
2025-08-19 17:30:00,1.354,2.119651316399813,1.752,5.0
2025-08-20 12:00:00,0.9119,1.7133639935462874,1.354,18.5
2025-08-20 12:20:00,0.8451,1.0724525241299914,0.9119,0.3333333333333333
2025-08-21 13:00:00,0.738,1.396778965213005,0.8451,24.666666666666668
2025-08-21 15:00:00,0.82782,0.7230642237798739,0.738,2.0
2025-08-25 09:00:00,0.327,0.7037236475849217,0.82782,90.0
2025-08-25 16:00:00,0.327,0.46554009782570005,0.327,7.0
2025-08-26 12:00:00,0.266,0.22325427785371688,0.327,20.0
2025-08-26 16:30:00,0.314,0.32698029560643466,0.266,4.5
2025-08-27 11:40:00,0.181,0.2228820305596735,0.314,19.166666666666668
2025-08-27 14:10:00,0.294,0.24191794471293004,0.181,2.5
2025-08-28 13:30:00,0.358,0.2372186926690221,0.294,23.333333333333332
2025-08-28 15:00:00,0.174,0.5872115026085637,0.358,1.5
2025-08-31 08:20:00,0.18,0.17219245532777638,0.174,65.33333333333333
2025-08-31 12:30:00,0.167,0.1815953020742742,0.18,4.166666666666667
2025-09-01 08:30:00,0.292,0.18881970650074487,0.167,20.0
2025-09-01 12:30:00,0.306,0.27748524452753265,0.292,4.0
2025-09-02 08:30:00,0.168,0.32759174161475335,0.306,20.0
2025-09-02 15:00:00,0.299,0.20885605963759735,0.168,6.5
2025-09-03 09:00:00,0.301,0.245830969120939,0.299,18.0
2025-09-03 15:20:00,0.308,0.38904022943009037,0.301,6.333333333333333
2025-09-07 08:50:00,0.334,0.2352446143296598,0.308,89.5
2025-09-07 15:30:00,0.1548,0.4138836385517775,0.334,6.666666666666667
2025-09-08 09:30:00,0.326,0.19980246904116536,0.1548,18.0
2025-09-08 13:50:00,0.156,0.2877540609733639,0.326,4.333333333333333
2025-09-09 08:30:00,0.348,0.20407177207407382,0.156,18.666666666666668
2025-09-09 14:10:00,0.3,0.25117697160167457,0.348,5.666666666666667
2025-09-09 15:40:00,0.347,0.32027350267806876,0.3,1.5
2025-09-09 18:40:00,0.161,0.2397158710970578,0.347,3.0
2025-09-10 07:50:00,0.342,0.2924214320317516,0.161,13.166666666666666
2025-09-10 11:30:00,0.292,0.2833971437355382,0.342,3.6666666666666665
2025-09-10 13:50:00,0.303,0.3319158666102018,0.292,2.3333333333333335
2025-09-10 15:50:00,0.306,0.22960001557804122,0.303,2.0
2025-09-11 07:50:00,0.336,0.29347855382889093,0.306,16.0
2025-09-11 11:20:00,0.17,0.30253101543927935,0.336,3.5
2025-09-11 13:30:00,0.348,0.2314234493604763,0.17,2.1666666666666665
2025-09-11 14:10:00,0.325,0.23176191717053116,0.348,0.6666666666666666
2025-09-11 17:20:00,0.288,0.23293018672159813,0.325,3.1666666666666665
2025-09-11 18:10:00,0.349,0.3293881394123306,0.288,0.8333333333333334
2025-09-14 08:30:00,0.177,0.24438560832334683,0.349,62.333333333333336
2025-09-14 11:30:00,0.286,0.21479924455660443,0.177,3.0
2025-09-14 12:20:00,0.316,0.24208085348725858,0.286,0.8333333333333334
2025-09-14 15:10:00,0.156,0.2511507303870755,0.316,2.8333333333333335
2025-09-14 18:00:00,0.307,0.26437516563871655,0.156,2.8333333333333335
2025-09-15 08:10:00,0.198,0.23744008376357909,0.307,14.166666666666666
2025-09-15 12:00:00,0.321,0.25875674265462345,0.198,3.8333333333333335
2025-09-15 14:10:00,0.332,0.18254991977490465,0.321,2.1666666666666665
2025-09-15 15:30:00,0.334,0.27643999934095914,0.332,1.3333333333333333
2025-09-15 17:40:00,0.383,0.25500964543584165,0.334,2.1666666666666665
2025-09-16 06:40:00,0.358,0.378741274719033,0.383,13.0
2025-09-16 08:50:00,0.183,0.4280324596531919,0.358,2.1666666666666665
2025-09-16 10:00:00,0.414,0.3371971334030138,0.183,1.1666666666666667
2025-09-16 12:10:00,0.302,0.3852345381793248,0.414,2.1666666666666665
2025-09-16 13:50:00,0.309,0.34850900161817455,0.302,1.6666666666666667
2025-09-17 08:50:00,0.215,0.2078604211468446,0.309,19.0
2025-09-17 11:50:00,0.128,0.30248112191988946,0.215,3.0
2025-09-17 13:30:00,0.333,0.2590862788613133,0.128,1.6666666666666667
2025-09-17 15:20:00,0.221,0.24566368770423525,0.333,1.8333333333333333
2025-09-18 07:10:00,0.47,0.3113133949237056,0.221,15.833333333333334
2025-09-18 09:40:00,0.795,0.545454401879597,0.47,2.5
2025-09-18 10:30:00,0.968,0.7351033342195791,0.795,0.8333333333333334
2025-09-18 12:00:00,0.98,0.6371708845975571,0.968,1.5
2025-09-18 13:10:00,0.662,1.1312363671250139,0.98,1.1666666666666667
2025-09-18 14:10:00,0.709,0.8265843197700556,0.662,1.0
2025-09-18 15:10:00,0.68,0.6008970062445125,0.709,1.0
2025-09-21 06:30:00,0.501,0.6436054020825224,0.68,63.333333333333336
2025-09-21 07:20:00,4.23,4.583770437760711,0.501,0.8333333333333334
2025-09-21 08:40:00,4.97,4.354134287071302,4.23,1.3333333333333333
2025-09-21 10:30:00,4.52,5.09328747746695,4.97,1.8333333333333333
2025-09-21 11:40:00,4.4,4.503508009240847,4.52,1.1666666666666667
2025-09-21 13:40:00,4.53,4.411946216863629,4.4,2.0
2025-09-21 15:30:00,3.87,3.982804575085281,4.53,1.8333333333333333
