,importance
t0_morning,0.20908162
overnight_h,0.1972438
t1_morning,0.17540142
photo_temp_interaction,0.09992991
ph0,0.044940542
hist_salt_buildup,0.035334278
transpiration_pull,0.03370534
soil_delta,0.025281888
temp_x_canopy,0.02171779
hist_acid_decay,0.021642538
ec0,0.020494355
hist_hrs_since_fert,0.020155637
ET0_per_hour,0.018787911
rad_morning,0.015879126
hist_irr_mid,0.01481704
hist_irr_prior,0.011758452
gap_hours,0.010644104
hist_irr_recent,0.010070161
rad_t1_log,0.008073384
hist_hrs_since_irr,0.0050407085
