t0,t1,gap_hours,ph0,ec0,ph1_true,ec1_true,ph1_pred,ec1_pred,dph_true,dec_true,dph_pred,dec_pred,train_intervals,ph_abs_error,ec_abs_error,ph_signed_error,ec_signed_error
2025-08-06 10:00:00,2025-08-06 16:30:00,6.5,7.75,1.045,8.83,2.25,7.969765126599591,1.15695598780307,1.08,1.205,0.21976512659959077,0.11195598780306992,21,0.860234873400409,1.09304401219693,-0.860234873400409,-1.09304401219693
2025-08-06 16:30:00,2025-08-07 10:00:00,17.5,8.83,2.25,8.05,2.36,9.191285831967985,1.6256565090609048,-0.7799999999999994,0.10999999999999988,0.3612858319679854,-0.6243434909390954,22,1.1412858319679842,0.7343434909390951,1.1412858319679842,-0.7343434909390951
2025-08-07 10:00:00,2025-08-07 13:00:00,3.0,8.05,2.36,8.11,2.3,8.414816650593805,2.2816489871488526,0.05999999999999872,-0.06000000000000005,0.36481665059380397,-0.07835101285114715,23,0.30481665059380525,0.018351012851147264,0.30481665059380525,-0.018351012851147264
2025-08-07 13:00:00,2025-08-10 08:20:00,67.33333333333333,8.11,2.3,7.48,2.18,8.168808519769028,2.2107295184684252,-0.629999999999999,-0.11999999999999966,0.05880851976902895,-0.08927048153157467,24,0.6888085197690277,0.030729518468425088,0.6888085197690277,0.030729518468425088
2025-08-10 08:20:00,2025-08-10 15:20:00,7.0,7.48,2.18,8.7,4.18,7.703032002009183,2.6396832884231545,1.2199999999999989,1.9999999999999996,0.22303200200918322,0.4596832884231543,25,0.9969679979908159,1.5403167115768452,-0.9969679979908159,-1.5403167115768452
2025-08-10 15:20:00,2025-08-11 08:10:00,16.833333333333332,8.7,4.18,7.44,3.29,8.299439425276612,3.642656514703579,-1.259999999999999,-0.8899999999999997,-0.4005605747233871,-0.537343485296421,26,0.8594394252766113,0.35265651470357895,0.8594394252766113,0.35265651470357895
2025-08-11 08:10:00,2025-08-12 08:30:00,24.333333333333332,7.44,3.29,7.81,1.473,7.777555910052158,3.244195424844565,0.3699999999999992,-1.817,0.3375559100521576,-0.0458045751554351,27,0.03244408994784198,1.7711954248445647,-0.03244408994784198,1.7711954248445647
2025-08-12 08:30:00,2025-08-13 11:20:00,26.833333333333332,7.81,1.473,7.41,2.13,8.14937094220856,2.3185872554552174,-0.39999999999999947,0.6569999999999998,0.33937094220856,0.8455872554552173,28,0.7393709422085593,0.18858725545521748,0.7393709422085593,0.18858725545521748
2025-08-13 11:20:00,2025-08-14 12:30:00,25.166666666666668,7.41,2.13,8.12,2.39,7.711846043159381,2.2646258176243217,0.7099999999999991,0.26000000000000023,0.30184604315938107,0.13462581762432183,29,0.40815395684061784,0.12537418237567843,-0.40815395684061784,-0.12537418237567843
2025-08-14 12:30:00,2025-08-14 16:20:00,3.8333333333333335,8.12,2.39,8.63,2.52,7.927677737025002,2.197186229871748,0.5100000000000016,0.1299999999999999,-0.1923222629749975,-0.19281377012825196,30,0.7023222629749988,0.32281377012825185,-0.7023222629749988,-0.32281377012825185
2025-08-14 16:20:00,2025-08-17 08:10:00,63.833333333333336,8.63,2.52,7.07,1.145,7.887539192525496,1.4909290279508522,-1.5600000000000005,-1.375,-0.7424608074745049,-1.0290709720491478,31,0.817539192525496,0.34592902795085223,0.817539192525496,0.34592902795085223
2025-08-17 08:10:00,2025-08-17 12:40:00,4.5,7.07,1.145,9.3,2.68,7.188152962399596,2.132313638486323,2.2300000000000004,1.5350000000000001,0.118152962399596,0.9873136384863229,32,2.1118470376004046,0.5476863615136773,-2.1118470376004046,-0.5476863615136773
2025-08-17 12:40:00,2025-08-18 08:30:00,19.833333333333332,9.3,2.68,8.29,1.932,8.954347879052248,1.4911903650986653,-1.0100000000000016,-0.7480000000000002,-0.3456521209477532,-1.1888096349013348,33,0.664347879052249,0.4408096349013346,0.664347879052249,-0.4408096349013346
2025-08-18 08:30:00,2025-08-18 14:40:00,6.166666666666667,8.29,1.932,9.19,2.93,7.814055496979861,2.8878629010956938,0.9000000000000004,0.9980000000000002,-0.47594450302013847,0.9558629010956937,34,1.375944503020139,0.04213709890430639,-1.375944503020139,-0.04213709890430639
2025-08-18 14:40:00,2025-08-19 12:30:00,21.833333333333332,9.19,2.93,9.61,1.752,8.372916927868927,1.6839727871904246,0.41999999999999993,-1.1780000000000002,-0.8170830721310731,-1.2460272128095755,35,1.2370830721310728,0.06802721280957535,-1.2370830721310728,-0.06802721280957535
2025-08-19 12:30:00,2025-08-19 17:30:00,5.0,9.61,1.752,9.08,1.354,9.30764832481864,1.8625947954954267,-0.5299999999999994,-0.3979999999999999,-0.3023516751813595,0.11059479549542682,36,0.22764832481863984,0.5085947954954266,0.22764832481863984,0.5085947954954266
2025-08-19 17:30:00,2025-08-20 12:00:00,18.5,9.08,1.354,9.21,0.9119,8.762340781937176,1.6827077519042863,0.13000000000000078,-0.44210000000000005,-0.31765921806282343,0.3287077519042862,37,0.4476592180628245,0.7708077519042863,-0.4476592180628245,0.7708077519042863
2025-08-20 12:00:00,2025-08-20 12:20:00,0.3333333333333333,9.21,0.9119,8.37,0.8451,8.997876157041151,0.8678947405667378,-0.8400000000000016,-0.06680000000000008,-0.21212384295884956,-0.04400525943326232,38,0.6278761570411522,0.022794740566737803,0.6278761570411522,0.022794740566737803
2025-08-20 12:20:00,2025-08-21 13:00:00,24.666666666666668,8.37,0.8451,8.14,0.738,7.943405980272122,0.7949482786587712,-0.22999999999999865,-0.10709999999999997,-0.42659401972787697,-0.05015172134122881,39,0.19659401972787816,0.05694827865877117,-0.19659401972787816,0.05694827865877117
2025-08-21 13:00:00,2025-08-21 15:00:00,2.0,8.14,0.738,7.54,0.82782,7.901030731641633,0.7911647242338193,-0.6000000000000005,0.08982000000000001,-0.23896926835836768,0.053164724233819405,40,0.361030731641633,0.03665527576618066,0.361030731641633,-0.03665527576618066
2025-08-21 15:00:00,2025-08-25 09:00:00,90.0,7.54,0.82782,9.07,0.32699999999999996,7.281608458492954,0.9190088305873549,1.5300000000000002,-0.50082,-0.2583915415070457,0.0911888305873549,41,1.7883915415070462,0.592008830587355,-1.7883915415070462,0.592008830587355
2025-08-25 09:00:00,2025-08-25 16:00:00,7.0,9.07,0.327,9.86,0.327,9.195404868208847,1.2514181477562292,0.7899999999999991,0.0,0.12540486820884655,0.9244181477562292,42,0.6645951317911525,0.9244181477562292,-0.6645951317911525,0.9244181477562292
2025-08-25 16:00:00,2025-08-26 12:00:00,20.0,9.86,0.327,7.37,0.266,9.831027648101811,0.26625351058007135,-2.4899999999999993,-0.061,-0.028972351898187754,-0.060746489419928655,43,2.461027648101811,0.00025351058007133664,2.461027648101811,0.00025351058007133664
2025-08-26 12:00:00,2025-08-26 16:30:00,4.5,7.37,0.266,7.36,0.314,7.449894935125627,0.35785721229725687,-0.009999999999999787,0.04799999999999999,0.07989493512562672,0.09185721229725687,44,0.08989493512562685,0.043857212297256865,0.08989493512562685,0.043857212297256865
2025-08-26 16:30:00,2025-08-27 11:40:00,19.166666666666668,7.36,0.314,7.76,0.181,7.4281509784437025,0.3852874140902079,0.39999999999999947,-0.133,0.06815097844370235,0.0712874140902079,45,0.33184902155629725,0.2042874140902079,-0.33184902155629725,0.2042874140902079
2025-08-27 11:40:00,2025-08-27 14:10:00,2.5,7.76,0.181,8.93,0.294,8.205377982360714,0.48355100048437605,1.17,0.11299999999999999,0.445377982360715,0.30255100048437605,46,0.7246220176392857,0.18955100048437606,-0.7246220176392857,0.18955100048437606
2025-08-27 14:10:00,2025-08-28 13:30:00,23.333333333333332,8.93,0.294,7.62,0.358,8.768227757338796,0.36194660768297615,-1.3099999999999996,0.064,-0.16177224266120377,0.0679466076829762,47,1.1482277573387956,0.0039466076829761665,1.1482277573387956,0.0039466076829761665
2025-08-28 13:30:00,2025-08-28 15:00:00,1.5,7.62,0.358,10.29,0.174,8.10812649748189,0.3029676271997669,2.669999999999999,-0.184,0.4881264974818911,-0.055032372800233084,48,2.1818735025181084,0.1289676271997669,-2.1818735025181084,0.1289676271997669
2025-08-28 15:00:00,2025-08-31 08:20:00,65.33333333333333,10.29,0.174,7.73,0.18,9.608609832831155,0.08043654513136057,-2.5599999999999987,0.006000000000000005,-0.6813901671688444,-0.09356345486863941,49,1.8786098328311542,0.09956345486863942,1.8786098328311542,-0.09956345486863942
2025-08-31 08:20:00,2025-08-31 12:30:00,4.166666666666667,7.73,0.18,10.49,0.167,8.352341802655243,1.3136789225276482,2.76,-0.012999999999999984,0.6223418026552416,1.1336789225276482,50,2.1376581973447575,1.1466789225276481,-2.1376581973447575,1.1466789225276481
2025-08-31 12:30:00,2025-09-01 08:30:00,20.0,10.49,0.167,9.76,0.292,9.687476243482488,0.10334408158587319,-0.7300000000000004,0.12499999999999997,-0.8025237565175127,-0.06365591841412682,51,0.07252375651751208,0.1886559184141268,-0.07252375651751208,-0.1886559184141268
2025-09-01 08:30:00,2025-09-01 12:30:00,4.0,9.76,0.292,10.38,0.306,9.555997926460241,1.4076208166589488,0.620000000000001,0.014000000000000012,-0.2040020735397581,1.1156208166589487,52,0.8240020735397593,1.1016208166589487,-0.8240020735397593,1.1016208166589487
2025-09-01 12:30:00,2025-09-02 08:30:00,20.0,10.38,0.306,8.0,0.168,9.629677229664594,0.32488452212201496,-2.380000000000001,-0.13799999999999998,-0.7503227703354066,0.018884522122014948,53,1.629677229664594,0.15688452212201495,1.629677229664594,0.15688452212201495
2025-09-02 08:30:00,2025-09-02 15:00:00,6.5,8.0,0.168,10.34,0.299,8.589542650238172,0.9782879073650318,2.34,0.13099999999999998,0.5895426502381717,0.8102879073650318,54,1.7504573497618274,0.6792879073650318,-1.7504573497618274,0.6792879073650318
2025-09-02 15:00:00,2025-09-03 09:00:00,18.0,10.34,0.299,8.87,0.301,9.35166164514634,0.20075063645245098,-1.4700000000000006,0.0020000000000000018,-0.9883383548536595,-0.09824936354754901,55,0.4816616451463407,0.10024936354754901,0.4816616451463407,-0.10024936354754901
2025-09-03 09:00:00,2025-09-03 15:20:00,6.333333333333333,8.87,0.301,10.32,0.308,8.994018621428573,0.7537393875733635,1.450000000000001,0.007000000000000006,0.12401862142857403,0.45273938757336346,56,1.3259813785714272,0.44573938757336345,-1.3259813785714272,0.44573938757336345
2025-09-03 15:20:00,2025-09-07 08:50:00,89.5,10.32,0.308,8.25,0.334,8.97022092060122,0.27966408729790637,-2.0700000000000003,0.026000000000000023,-1.3497790793987807,-0.028335912702093628,57,0.7202209206012196,0.05433591270209365,0.7202209206012196,-0.05433591270209365
2025-09-07 08:50:00,2025-09-07 15:30:00,6.666666666666667,8.25,0.334,10.01,0.1548,9.140547982007488,0.9727703771720426,1.7599999999999998,-0.17920000000000003,0.8905479820074881,0.6387703771720427,58,0.8694520179925114,0.8179703771720426,-0.8694520179925114,0.8179703771720426
2025-09-07 15:30:00,2025-09-08 09:30:00,18.0,10.01,0.1548,8.8,0.326,8.831737633859703,0.12438492740075895,-1.209999999999999,0.17120000000000002,-1.1782623661402971,-0.030415072599241044,59,0.031737633859702186,0.20161507259924105,0.031737633859702186,-0.20161507259924105
