run,train_start,train_end,test_start,test_end,train_rows,test_rows,mae_internal_air_temp_c,rmse_internal_air_temp_c,r2_internal_air_temp_c,mae_internal_radiation,rmse_internal_radiation,r2_internal_radiation,mae_ET0,rmse_ET0,r2_ET0
0,2025-05-29 01:00:00,2025-06-08 00:50:00,2025-06-08 01:00:00,2025-06-09 00:50:00,1440,144,0.5375365556615194,0.6479393703471014,0.9730448963567285,30.595632189886505,67.58086271412948,0.925859116196625,0.032483137204322374,0.05092186686770896,0.9380101859592116
1,2025-05-29 01:00:00,2025-06-09 00:50:00,2025-06-09 01:00:00,2025-06-10 00:50:00,1584,144,0.2990694028193153,0.3710837622812591,0.9908874190053968,19.80379040391305,33.660675101904836,0.9795081991864247,0.0267233984908982,0.03786955898290805,0.9662258211032106
2,2025-05-29 01:00:00,2025-06-10 00:50:00,2025-06-10 01:00:00,2025-06-11 00:50:00,1728,144,0.39589481298912904,0.512275135500336,0.9843942362238677,21.958135956527418,37.5076128096532,0.9756902748722622,0.026956066033732493,0.03740958776904172,0.9680507797328293
3,2025-05-29 01:00:00,2025-06-11 00:50:00,2025-06-11 01:00:00,2025-06-12 00:50:00,1872,144,0.3333002304729884,0.4008043697438567,0.991450303027887,27.66324984124716,56.73874235855422,0.9480480881689464,0.024093716795878926,0.03346620676987499,0.9738278167855058
4,2025-05-29 01:00:00,2025-06-12 00:50:00,2025-06-12 01:00:00,2025-06-13 00:50:00,2016,144,0.3690936316214667,0.518256241071752,0.9853063005448818,33.697845525589656,57.45992348029109,0.9433230421304423,0.028246165655546114,0.039606938203170114,0.9628577662509252
5,2025-05-29 01:00:00,2025-06-13 00:50:00,2025-06-13 01:00:00,2025-06-14 00:50:00,2160,144,0.33021435037231434,0.42991051754370735,0.9900774871799537,14.162532099794921,24.725705426477123,0.9902779212163862,0.02397118728878588,0.032969719351607495,0.975120240788627
6,2025-05-29 01:00:00,2025-06-14 00:50:00,2025-06-14 01:00:00,2025-06-15 00:50:00,2304,144,0.36801106912400977,0.4490229453374976,0.987824039481632,17.15212741042721,30.98169011434386,0.9850481407804351,0.025138520988659818,0.03470656802206174,0.9724901848918673
7,2025-05-29 01:00:00,2025-06-15 00:50:00,2025-06-15 01:00:00,2025-06-16 00:50:00,2448,144,0.32807388412984195,0.4237823467652648,0.9897834617909085,14.311692083866227,23.703965214441748,0.9901838514565557,0.02122812660035695,0.03086568681102232,0.9780672653000094
8,2025-05-29 01:00:00,2025-06-16 00:50:00,2025-06-16 01:00:00,2025-06-17 01:00:00,2592,144,0.29094580936262343,0.3664738739402041,0.991821009533766,19.66757303377311,34.07183264578539,0.9777986509928333,0.019387379451221345,0.025021780267737527,0.9846373640753798
9,2025-05-29 01:00:00,2025-06-17 01:00:00,2025-06-17 01:10:00,2025-06-18 01:00:00,2736,144,0.3058487267651027,0.4220204026677717,0.9889176659065252,11.42846944323406,18.455704968264396,0.993596750104102,0.018825965073479223,0.02432124062200765,0.9853003487714672
10,2025-05-29 01:00:00,2025-06-18 01:00:00,2025-06-18 01:10:00,2025-06-19 01:00:00,2880,144,0.3950932653452555,0.48882424541472097,0.9869675542913965,16.54942108017626,26.08404735660206,0.9896825281308675,0.027888257151356493,0.03507615876464653,0.97400849972314
11,2025-05-29 01:00:00,2025-06-19 01:00:00,2025-06-19 01:10:00,2025-06-20 01:00:00,3024,144,0.3520929638909235,0.47156777286416796,0.9893755590954798,16.62174790542082,29.29157727260014,0.9876136336362236,0.023225833880755387,0.029263387190005576,0.980672314434223
12,2025-05-29 01:00:00,2025-06-20 01:00:00,2025-06-20 01:10:00,2025-06-21 01:00:00,3168,144,0.3271353553585476,0.3885143753900837,0.991205753125826,14.39137637665966,22.888502621429858,0.9907926683108422,0.016942460346941038,0.021385620951729908,0.9895409984633687
13,2025-05-29 01:00:00,2025-06-21 01:00:00,2025-06-21 01:10:00,2025-06-22 01:00:00,3312,144,0.3657297385677762,0.4807715079949325,0.9865292205795589,10.590123991101983,18.2945580610961,0.994683332256306,0.01789412140325321,0.025426454060531196,0.9847555984007755
14,2025-05-29 01:00:00,2025-06-22 01:00:00,2025-06-22 01:10:00,2025-06-23 01:00:00,3456,144,0.36824986932542575,0.4631104588304875,0.986954352852801,12.747792080766194,22.64833955193441,0.9910134281532763,0.018674115299767265,0.024933605818421738,0.9854907883749663
15,2025-05-29 01:00:00,2025-06-23 01:00:00,2025-06-23 01:10:00,2025-06-24 01:00:00,3600,144,0.4523198891643947,0.6265510602979492,0.9620617121448132,18.753635725653226,31.50085516334947,0.983241551803395,0.019252999176274686,0.025340779735077933,0.985184348133033
16,2025-05-29 01:00:00,2025-06-24 01:00:00,2025-06-24 01:10:00,2025-06-25 01:00:00,3744,144,0.3452978185763889,0.4750899351344255,0.982422571451086,21.552132469313747,37.9600775224264,0.9670096259318253,0.0265686537685579,0.03884840684110393,0.9575456809811168
17,2025-05-29 01:00:00,2025-06-25 01:00:00,2025-06-25 01:10:00,2025-06-26 01:00:00,3888,144,0.21482805804867222,0.2969239957589938,0.9944180016834219,11.929623780705542,20.66976805099765,0.9930744968556132,0.019814217490171277,0.026546752217109462,0.9832297007367814
18,2025-05-29 01:00:00,2025-06-26 01:00:00,2025-06-26 01:10:00,2025-06-27 01:00:00,4032,144,0.31298769135708293,0.4088332189109938,0.9918218756115795,13.077482390825546,23.0613169280032,0.9915562844461342,0.02000272956220928,0.029210443034701526,0.9798443953200907
19,2025-05-29 01:00:00,2025-06-27 01:00:00,2025-06-27 01:10:00,2025-06-28 01:00:00,4176,144,0.45588053729587114,0.5900091092332402,0.983229787386081,36.09720515070356,68.95595427937867,0.9468384396181682,0.038720857122580235,0.05371433563771059,0.9453347808949706
20,2025-05-29 01:00:00,2025-06-28 01:00:00,2025-06-28 01:10:00,2025-06-29 01:00:00,4320,144,0.4724944885669282,0.571909223182209,0.9864931763518408,12.753437191455056,21.770829163502306,0.9948369470488148,0.03340333200104225,0.04769777998731093,0.960223092517089
21,2025-05-29 01:00:00,2025-06-29 01:00:00,2025-06-29 01:10:00,2025-06-30 01:00:00,4464,144,0.37128612264251726,0.48925033908740534,0.9890852988173618,14.670774885203238,25.3301298231984,0.9923551754196567,0.023050074427222667,0.03237974585624535,0.9798765359489812
22,2025-05-29 01:00:00,2025-06-30 01:00:00,2025-06-30 01:10:00,2025-07-01 01:10:00,4608,144,0.1876732326634727,0.2423775934317444,0.9959601366579128,14.994952795107666,25.823181133769186,0.9898841760007614,0.0231122868611113,0.0313474631507194,0.9793288672344891
23,2025-05-29 01:00:00,2025-07-01 01:10:00,2025-07-01 01:20:00,2025-07-02 01:10:00,4752,144,0.8561069535513987,1.0861893195308576,0.9427146662569562,33.29350287138045,56.88456928357955,0.9463657449102941,0.0317314422574981,0.04610368208761121,0.9531186261833001
24,2025-05-29 01:00:00,2025-07-02 01:10:00,2025-07-02 01:20:00,2025-07-03 01:10:00,4896,144,0.31177391204664434,0.3940184155826251,0.9918793752346431,16.531323992131192,28.572904087680786,0.9914514383439018,0.027583953731926347,0.037312080152679485,0.9752118228088625
25,2025-05-29 01:00:00,2025-07-03 01:10:00,2025-07-03 01:20:00,2025-07-04 01:10:00,5040,144,0.2003380310660468,0.2539268930387988,0.9962258047124217,11.209885019291129,20.10786363101292,0.9941116223076863,0.018535455990522524,0.023239747324005244,0.9882482095449571
26,2025-05-29 01:00:00,2025-07-04 01:10:00,2025-07-04 01:20:00,2025-07-05 01:10:00,5184,144,0.2987745907279119,0.37661961915968223,0.9918735914246574,15.735270878352972,30.279195396658565,0.9866632593372348,0.02105498932082432,0.027212512657540586,0.9842133584456508
27,2025-05-29 01:00:00,2025-07-05 01:10:00,2025-07-05 01:20:00,2025-07-06 01:10:00,5328,144,0.3253915162946912,0.4022510942865184,0.9903337991020853,27.016806947021117,48.27544831290874,0.9622654645209447,0.020031841899307703,0.026627845187910063,0.9865908209866743
